"filename", "language", "HTML", "Markdown", "PowerShell", "Properties", "JavaScript", "XML", "Python", "CSS", "Batch", "comment", "blank", "total"
"c:\Users\10051\Desktop\learn-to-build\Scripts\Activate.ps1", "PowerShell", 0, 0, 108, 0, 0, 0, 0, 0, 0, 360, 35, 503
"c:\Users\10051\Desktop\learn-to-build\Scripts\activate.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 24, 1, 10, 35
"c:\Users\10051\Desktop\learn-to-build\Scripts\deactivate.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 7, 23
"c:\Users\10051\Desktop\learn-to-build\app.py", "Python", 0, 0, 0, 0, 0, 0, 89, 0, 0, 11, 19, 119
"c:\Users\10051\Desktop\learn-to-build\config.py", "Python", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\10051\Desktop\learn-to-build\docs\CheatSheet\Algorithms.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\10051\Desktop\learn-to-build\docs\CheatSheet\Math.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\10051\Desktop\learn-to-build\docs\CheatSheet\OS\Linux.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\10051\Desktop\learn-to-build\docs\CheatSheet\OS\MacOS.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\10051\Desktop\learn-to-build\docs\CheatSheet\OS\Windows.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\10051\Desktop\learn-to-build\docs\CheatSheet\languages\CSS.md", "Markdown", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 14, 61
"c:\Users\10051\Desktop\learn-to-build\docs\CheatSheet\languages\HTML.md", "Markdown", 0, 207, 0, 0, 0, 0, 0, 0, 0, 0, 77, 284
"c:\Users\10051\Desktop\learn-to-build\docs\CheatSheet\languages\Js.md", "Markdown", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 9, 28
"c:\Users\10051\Desktop\learn-to-build\docs\CheatSheet\languages\Python.md", "Markdown", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 15, 35
"c:\Users\10051\Desktop\learn-to-build\docs\CheatSheet\languages\jinja.md", "Markdown", 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 45, 153
"c:\Users\10051\Desktop\learn-to-build\docs\c  .md", "Markdown", 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 85, 234
"c:\Users\10051\Desktop\learn-to-build\docs\create_docs_structure.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 3, 20
"c:\Users\10051\Desktop\learn-to-build\docs\index.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\10051\Desktop\learn-to-build\docs\test\test.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\10051\Desktop\learn-to-build\pyvenv.cfg", "Properties", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\10051\Desktop\learn-to-build\static\css\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 263, 0, 2, 36, 301
"c:\Users\10051\Desktop\learn-to-build\static\js\PreviewAreaHandler.js", "JavaScript", 0, 0, 0, 0, 31, 0, 0, 0, 0, 3, 4, 38
"c:\Users\10051\Desktop\learn-to-build\static\js\app.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 6
"c:\Users\10051\Desktop\learn-to-build\static\js\contextMenu.js", "JavaScript", 0, 0, 0, 0, 80, 0, 0, 0, 0, 5, 14, 99
"c:\Users\10051\Desktop\learn-to-build\static\js\fileOperation.js", "JavaScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 6, 32
"c:\Users\10051\Desktop\learn-to-build\static\js\sidebarHandler.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\10051\Desktop\learn-to-build\static\js\textAreaHandler.js", "JavaScript", 0, 0, 0, 0, 55, 0, 0, 0, 0, 7, 19, 81
"c:\Users\10051\Desktop\learn-to-build\static\svg\delete_button.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\10051\Desktop\learn-to-build\templates\index.html", "HTML", 85, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 94
"Total", "-", 85, 559, 108, 5, 190, 4, 91, 263, 55, 405, 414, 2179
